,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
142,0.4024617671966553,0.21706418809327865,0.026954809824625652,0.005105118190894395,0.001,50,70,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 70}",1.0,0.9995383194829178,0.9995383194829178,0.9996922129886118,0.0002176382829136783,19,1.0,0.9986152780983153,0.9976921301638587,0.9987691360873914,0.0009484443423292668
130,0.5856351852416992,0.13307067926761007,0.038090785344441734,0.028479918052810298,0.001,10,70,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 70}",1.0,0.9995383194829178,0.9995383194829178,0.9996922129886118,0.0002176382829136783,19,1.0,0.9986152780983153,0.9976921301638587,0.9987691360873914,0.0009484443423292668
173,0.5446648597717285,0.2090194230729939,0.05448579788208008,0.04043190382761542,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.9935394554683895,0.9949215143120961,0.9953831948291783,0.9946147215365547,0.0007833411615099972,22,0.9944598337950139,0.9951534733441034,0.9949226863604893,0.9948453311665356,0.0002884115410762846
172,0.31937146186828613,0.11504274274663301,0.04640491803487142,0.029713556090713016,0.01,5,70,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 70}",0.9907706506691278,0.9949215143120961,0.9953831948291783,0.9936917866034675,0.0020741365408494957,23,0.9930747922437673,0.9951534733441034,0.9949226863604893,0.9943836506494533,0.0009302861217757058
171,0.28308765093485516,0.08202171610248961,0.016974131266276043,0.0010805507605429422,0.01,5,40,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 40}",0.9907706506691278,0.9930747922437673,0.9926131117266851,0.9921528515465267,0.0009953715132468618,24,0.9930747922437673,0.9935379644588045,0.9921532425571198,0.9929219997532305,0.0005755419736356588
170,0.194350798924764,0.04503954904943239,0.035873810450236,0.029511303812142464,0.01,5,20,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 20}",0.9833871712044301,0.9930747922437673,0.9926131117266851,0.9896916917249609,0.0044619518502039815,25,0.9868421052631579,0.9935379644588045,0.9921532425571198,0.9908444374263606,0.0028859846089572695
169,0.10410904884338379,0.03840212028315288,0.013957659403483072,0.0014140132623387907,0.01,5,10,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 10}",0.9907706506691278,0.9930747922437673,0.9806094182825484,0.9881516203984813,0.005415464071661247,26,0.9930747922437673,0.9935379644588045,0.9829217632125549,0.9898448399717088,0.004899005068041837
125,0.38234972953796387,0.09499214728701527,0.027132829030354817,0.0016067761414388373,0.001,5,100,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100}",0.9907706506691278,0.9930747922437673,0.9806094182825484,0.9881516203984813,0.005415464071661247,26,0.9930747922437673,0.9935379644588045,0.9829217632125549,0.9898448399717088,0.004899005068041837
167,0.35214749972025555,0.06982691379581712,0.032921393712361656,0.012662489658527868,0.01,4,100,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",0.9875403784033225,0.9926131117266851,0.9792243767313019,0.9864592889537699,0.005519125654944519,28,0.9884579870729455,0.9928456035079621,0.9799215324255712,0.9870750410021597,0.005366085364689349
166,0.42507370313008624,0.10075629273745652,0.031428893407185875,0.012247324316047917,0.01,4,70,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 70}",0.9921550530687586,0.9815327793167128,0.9792243767313019,0.984304069705591,0.005630904927311576,29,0.9930747922437673,0.9787675975075005,0.9799215324255712,0.9839213073922797,0.006489612476545131
180,0.14905452728271484,0.0656668082893557,0.046979665756225586,0.027998235714691535,0.01,20,5,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 5}",0.9824642362713428,0.9810710987996306,0.9889196675900277,0.9841516675536671,0.003419120380431546,30,0.9826869806094183,0.9833833371797831,0.9879990768520656,0.9846897982137556,0.00235721897550953
