,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
124,0.46031913757324217,0.09033001183422004,0.028167247772216797,0.015901550201248688,3,3,70,"{'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
170,0.09734821319580078,0.029072419927559996,0.007190847396850586,0.0016952700824749596,4,2,20,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 20}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
340,0.4663256645202637,0.12282538133481628,0.023143672943115236,0.006648114865255914,20,2,70,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
191,1.0190989971160889,0.2664324837957545,0.05203280448913574,0.010542844645066567,4,4,200,"{'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 200}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
343,1.021935272216797,0.17517201445896957,0.05549802780151367,0.008586870380255523,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
346,0.14195117950439454,0.04521207663379563,0.023197078704833986,0.020347768608195864,20,3,20,"{'max_depth': 20, 'min_samples_split': 3, 'n_estimators': 20}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
348,0.38418078422546387,0.06378728748128643,0.02178158760070801,0.012160351091558856,20,3,70,"{'max_depth': 20, 'min_samples_split': 3, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
158,0.6850679397583008,0.17048679925124857,0.038155746459960935,0.012736738464276837,3,20,150,"{'max_depth': 3, 'min_samples_split': 20, 'n_estimators': 150}",0.9545454545454546,1.0,0.9523809523809523,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
156,0.3008729457855225,0.08100949599546807,0.018457841873168946,0.005755047328318897,3,20,70,"{'max_depth': 3, 'min_samples_split': 20, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
155,0.21370601654052734,0.04075179674446514,0.02135748863220215,0.013072914163638061,3,20,40,"{'max_depth': 3, 'min_samples_split': 20, 'n_estimators': 40}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
350,0.8563524723052979,0.15152589430733698,0.03842020034790039,0.011517416037599265,20,3,150,"{'max_depth': 20, 'min_samples_split': 3, 'n_estimators': 150}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
151,0.8162129878997803,0.19207348752690148,0.04325613975524902,0.017314891448932394,3,10,200,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
150,0.7242214679718018,0.17708016322331144,0.040445137023925784,0.01434805612808938,3,10,150,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 150}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
148,0.3220966339111328,0.11042350132112712,0.015358877182006837,0.0010171398142532718,3,10,70,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
196,0.3170139789581299,0.06327660131557991,0.015661287307739257,0.001464809829286885,4,5,70,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
198,0.8348509311676026,0.2481216410160155,0.04754915237426758,0.012821756379002945,4,5,150,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 150}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
351,1.0525660991668702,0.2353384743540539,0.05253081321716309,0.014563709256961882,20,3,200,"{'max_depth': 20, 'min_samples_split': 3, 'n_estimators': 200}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
199,1.1897637844085693,0.2993356917472149,0.06443514823913574,0.011659546509546563,4,5,200,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
143,0.9289613246917725,0.20921357227986012,0.04709439277648926,0.014787941265654555,3,5,200,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
324,0.3091184139251709,0.07122645669960775,0.015591192245483398,0.0005863615833661057,10,20,70,"{'max_depth': 10, 'min_samples_split': 20, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
323,0.21182422637939452,0.06498054236029636,0.017389774322509766,0.007499215167332433,10,20,40,"{'max_depth': 10, 'min_samples_split': 20, 'n_estimators': 40}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
140,0.388822603225708,0.07132180627007219,0.03025360107421875,0.017235117386874593,3,5,70,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
204,0.4103877544403076,0.08527102685717723,0.016066360473632812,0.001107356165673977,4,10,70,"{'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
356,0.29638056755065917,0.08432885692124895,0.015867853164672853,0.0014097985253753481,20,4,70,"{'max_depth': 20, 'min_samples_split': 4, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
207,1.3819950580596925,0.3063496366509175,0.08335695266723633,0.03294340677463777,4,10,200,"{'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
