,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
535,0.0681917667388916,0.007852922497657192,0.003988027572631836,3.2340669551493016e-06,0.1,0.01,1,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 200}",0.9344262295081968,0.9344262295081968,0.9344262295081968,0.9244663382594417,0.9277504105090312,0.9310990874586127,0.004205154501468253,1,0.9319114027891715,0.9306808859721083,0.9319114027891715,0.932349323493235,0.933169331693317,0.9320044693474007,0.0008056083895670744
727,0.08045001029968261,0.002065761542461446,0.00588374137878418,0.001958793240795332,1,0.01,1,200,"{'gamma': 1, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 200}",0.9344262295081968,0.9344262295081968,0.9344262295081968,0.9244663382594417,0.9277504105090312,0.9310990874586127,0.004205154501468253,1,0.9319114027891715,0.9306808859721083,0.9319114027891715,0.932349323493235,0.933169331693317,0.9320044693474007,0.0008056083895670744
151,0.059774160385131836,0.0012224561334246383,0.0032938480377197265,0.00040013663342246665,0.001,0.01,1,200,"{'gamma': 0.001, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 200}",0.9344262295081968,0.9344262295081968,0.9344262295081968,0.9244663382594417,0.9277504105090312,0.9310990874586127,0.004205154501468253,1,0.9319114027891715,0.9306808859721083,0.9319114027891715,0.932349323493235,0.933169331693317,0.9320044693474007,0.0008056083895670744
343,0.1168440341949463,0.025600267864074554,0.008284807205200195,0.0028137070892166514,0.01,0.01,1,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 200}",0.9344262295081968,0.9344262295081968,0.9344262295081968,0.9244663382594417,0.9277504105090312,0.9310990874586127,0.004205154501468253,1,0.9319114027891715,0.9306808859721083,0.9319114027891715,0.932349323493235,0.933169331693317,0.9320044693474007,0.0008056083895670744
531,0.020391273498535156,0.00045867849371812055,0.0039901256561279295,0.0006308284091945564,0.1,0.01,1,40,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 40}",0.9344262295081968,0.9344262295081968,0.9327868852459016,0.9244663382594417,0.9277504105090312,0.9307712186061534,0.003991438816684935,5,0.9310910582444627,0.9306808859721083,0.9319114027891715,0.932349323493235,0.932759327593276,0.9317583996184506,0.0007721188994343743
532,0.024734020233154297,0.0023087548285772633,0.003989362716674804,0.0006306003232995543,0.1,0.01,1,50,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 50}",0.9344262295081968,0.9344262295081968,0.9327868852459016,0.9244663382594417,0.9277504105090312,0.9307712186061534,0.003991438816684935,5,0.9310910582444627,0.9306808859721083,0.9319114027891715,0.932349323493235,0.932759327593276,0.9317583996184506,0.0007721188994343743
723,0.02612643241882324,0.0020392993837162598,0.003988742828369141,0.0010928412984569874,1,0.01,1,40,"{'gamma': 1, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 40}",0.9344262295081968,0.9344262295081968,0.9327868852459016,0.9244663382594417,0.9277504105090312,0.9307712186061534,0.003991438816684935,5,0.9310910582444627,0.9306808859721083,0.9319114027891715,0.932349323493235,0.932759327593276,0.9317583996184506,0.0007721188994343743
342,0.051912117004394534,0.009162958785534582,0.004598283767700195,0.0013627359166021764,0.01,0.01,1,120,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 120}",0.9344262295081968,0.9344262295081968,0.9327868852459016,0.9244663382594417,0.9277504105090312,0.9307712186061534,0.003991438816684935,5,0.9310910582444627,0.9306808859721083,0.9319114027891715,0.932349323493235,0.932759327593276,0.9317583996184506,0.0007721188994343743
341,0.03557848930358887,0.0015066827048055597,0.004611349105834961,0.000502975252788983,0.01,0.01,1,80,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 80}",0.9344262295081968,0.9344262295081968,0.9327868852459016,0.9244663382594417,0.9277504105090312,0.9307712186061534,0.003991438816684935,5,0.9310910582444627,0.9306808859721083,0.9319114027891715,0.932349323493235,0.932759327593276,0.9317583996184506,0.0007721188994343743
533,0.03175210952758789,0.0007697006536185978,0.003996944427490235,8.690479850688567e-06,0.1,0.01,1,80,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 80}",0.9344262295081968,0.9344262295081968,0.9327868852459016,0.9244663382594417,0.9277504105090312,0.9307712186061534,0.003991438816684935,5,0.9310910582444627,0.9306808859721083,0.9319114027891715,0.932349323493235,0.932759327593276,0.9317583996184506,0.0007721188994343743
