,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_kernel,param_epochs,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
25,6.537879610061646,0.12879145422484306,0.894078254699707,0.1607243287373716,1e-05,0.1,30,50,"{'learning_rate': 1e-05, 'kernel': 0.1, 'epochs': 30, 'batch_size': 50}",0.3076923076923077,0.32167832167832167,0.352112676056338,0.3380281690140845,0.3380281690140845,0.3315079286910273,0.015319188355183871,17,0.3374340949033392,0.3339191564147627,0.3263157894736842,0.3298245614035088,0.3298245614035088,0.33146363271976076,0.003835346527967244
12,5.215909767150879,0.2278234104325106,0.6349137306213379,0.1433924066597935,1e-05,0.1,50,150,"{'learning_rate': 1e-05, 'kernel': 0.1, 'epochs': 50, 'batch_size': 150}",0.3146853146853147,0.32167832167832167,0.34507042253521125,0.3380281690140845,0.3380281690140845,0.3314980793854033,0.011389375206565926,18,0.335676625659051,0.3339191564147627,0.3280701754385965,0.3298245614035088,0.3298245614035088,0.3314630160638855,0.002851931489377315
16,6.9016210556030275,0.45955683068937975,0.6107729911804199,0.09656595364049494,1e-05,1,30,50,"{'learning_rate': 1e-05, 'kernel': 1, 'epochs': 30, 'batch_size': 50}",0.3146853146853147,0.32167832167832167,0.34507042253521125,0.3380281690140845,0.3380281690140845,0.3314980793854033,0.011389375206565926,18,0.335676625659051,0.3339191564147627,0.3280701754385965,0.3298245614035088,0.3298245614035088,0.3314630160638855,0.002851931489377315
21,5.150413560867309,0.6495202848585967,0.7841588497161865,0.028881461947659018,1e-05,1,20,50,"{'learning_rate': 1e-05, 'kernel': 1, 'epochs': 20, 'batch_size': 50}",0.3146853146853147,0.32167832167832167,0.34507042253521125,0.3380281690140845,0.3380281690140845,0.3314980793854033,0.011389375206565926,18,0.335676625659051,0.3339191564147627,0.3280701754385965,0.3298245614035088,0.3298245614035088,0.3314630160638855,0.002851931489377315
6,6.590911531448365,0.5041314507230704,0.8921952247619629,0.19595991779814992,1e-05,0.01,30,50,"{'learning_rate': 1e-05, 'kernel': 0.01, 'epochs': 30, 'batch_size': 50}",0.3076923076923077,0.32167832167832167,0.352112676056338,0.33098591549295775,0.33098591549295775,0.3286910272825766,0.014486068613674468,21,0.3339191564147627,0.3304042179261863,0.32280701754385965,0.3280701754385965,0.3280701754385965,0.32865414855240027,0.0036236457009517567
24,5.615144681930542,0.18598233990345375,0.8489140033721924,0.14100595492417262,0.0001,0.001,30,100,"{'learning_rate': 0.0001, 'kernel': 0.001, 'epochs': 30, 'batch_size': 100}",0.3146853146853147,0.3776223776223776,0.30985915492957744,0.323943661971831,0.31690140845070425,0.32860238353196103,0.024926169977655985,22,0.3409490333919156,0.3216168717047452,0.34385964912280703,0.3385964912280702,0.3350877192982456,0.3360219529491567,0.007755166130032967
10,5.941392040252685,0.6177674244378802,0.6885288715362549,0.08413683279973894,1e-05,0.0001,30,50,"{'learning_rate': 1e-05, 'kernel': 0.0001, 'epochs': 30, 'batch_size': 50}",0.3076923076923077,0.32167832167832167,0.352112676056338,0.33098591549295775,0.323943661971831,0.32728257657835125,0.014536734282257364,23,0.3339191564147627,0.3304042179261863,0.32280701754385965,0.3280701754385965,0.3280701754385965,0.32865414855240027,0.0036236457009517567
26,5.371055173873901,0.3246367482809253,0.9196505069732666,0.5974903367942307,0.0001,1,20,100,"{'learning_rate': 0.0001, 'kernel': 1, 'epochs': 20, 'batch_size': 100}",0.2937062937062937,0.3006993006993007,0.3591549295774648,0.31690140845070425,0.30985915492957744,0.31606421747266816,0.02294328042016382,24,0.3233743409490334,0.3216168717047452,0.30701754385964913,0.3175438596491228,0.3175438596491228,0.3174192951623346,0.0056799591888803385
2,5.928353261947632,0.34332014497267027,0.8569475173950195,0.16684704821533555,0.0001,1,30,50,"{'learning_rate': 0.0001, 'kernel': 1, 'epochs': 30, 'batch_size': 50}",0.27972027972027974,0.32867132867132864,0.2887323943661972,0.3028169014084507,0.30985915492957744,0.30196001181916676,0.01700706157415754,25,0.30755711775043937,0.29701230228471004,0.3087719298245614,0.30526315789473685,0.3,0.3037209015508896,0.004504628918054292
11,5.089511251449585,0.577146872469417,0.6827773094177246,0.1292045324221428,0.0001,0.0001,20,150,"{'learning_rate': 0.0001, 'kernel': 0.0001, 'epochs': 20, 'batch_size': 150}",0.25874125874125875,0.27972027972027974,0.34507042253521125,0.29577464788732394,0.323943661971831,0.30065005417118096,0.03076989915274987,26,0.3110720562390158,0.30755711775043937,0.2894736842105263,0.3,0.29473684210526313,0.3005679400610489,0.007957283878483497
18,6.042044639587402,0.6967688295537259,0.9875535488128662,0.3862275982390698,0.0001,0.1,50,150,"{'learning_rate': 0.0001, 'kernel': 0.1, 'epochs': 50, 'batch_size': 150}",0.2937062937062937,0.32867132867132864,0.28169014084507044,0.28169014084507044,0.30985915492957744,0.29912341179946816,0.018030632894029865,27,0.3022847100175747,0.29349736379613356,0.30526315789473685,0.30701754385964913,0.2982456140350877,0.3012616779206364,0.00489018700149688
0,5.154858493804932,0.8185516785764373,1.4584655284881591,0.04061433943753219,0.0001,0.1,30,150,"{'learning_rate': 0.0001, 'kernel': 0.1, 'epochs': 30, 'batch_size': 150}",0.25874125874125875,0.3006993006993007,0.3028169014084507,0.2746478873239437,0.31690140845070425,0.29076135132473163,0.021034884184613578,28,0.29876977152899825,0.28646748681898065,0.28596491228070176,0.29473684210526313,0.2824561403508772,0.2896790306169642,0.006074567634967289
23,5.84171199798584,0.29171847622527736,0.8554904460906982,0.19738481295216212,0.0001,1,50,150,"{'learning_rate': 0.0001, 'kernel': 1, 'epochs': 50, 'batch_size': 150}",0.24475524475524477,0.2937062937062937,0.29577464788732394,0.2746478873239437,0.31690140845070425,0.28515709642470205,0.02423334732747202,29,0.29525483304042177,0.281195079086116,0.2824561403508772,0.28596491228070176,0.2771929824561403,0.2844127894428514,0.0061035521331388835
8,5.2123744010925295,0.2267155040520251,0.6915239810943603,0.059207112473981284,0.0001,1,20,50,"{'learning_rate': 0.0001, 'kernel': 1, 'epochs': 20, 'batch_size': 50}",0.24475524475524477,0.3006993006993007,0.28169014084507044,0.2605633802816901,0.323943661971831,0.2823303457106274,0.028125381617650942,30,0.29173989455184535,0.27768014059753954,0.28421052631578947,0.2894736842105263,0.2736842105263158,0.28335769124040333,0.006844046178378089
