,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
32,0.06745076179504395,0.008924079459124885,0.0018295447031656902,0.0002325949171244542,0.01,3,240,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 240}",0.8235294117647058,0.8438818565400844,0.8270042194092827,0.8314718292380244,0.008889137763589525,1,0.8670886075949367,0.8589473684210527,0.8442105263157895,0.856748834110593,0.00946843230915295
29,0.06772669156392415,0.018289550282970732,0.0029953320821126304,5.314589658514814e-06,0.01,3,175,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 175}",0.819327731092437,0.8481012658227848,0.8185654008438819,0.8286647992530346,0.013747180593118717,2,0.8502109704641351,0.8589473684210527,0.8378947368421052,0.8490176919090976,0.008636019892757613
42,0.06854867935180664,0.00731621831129022,0.0013287862141927083,0.0004709786829102551,0.01,4,200,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}",0.8151260504201681,0.8396624472573839,0.8270042194092827,0.827264239028945,0.010018629317103586,3,0.8607594936708861,0.871578947368421,0.8526315789473684,0.8616566733288918,0.007761202270474586
41,0.06970755259195964,0.01248615479825332,0.0016617774963378906,0.0004701902520620762,0.01,4,190,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 190}",0.8151260504201681,0.8396624472573839,0.8270042194092827,0.827264239028945,0.010018629317103586,3,0.8607594936708861,0.871578947368421,0.8526315789473684,0.8616566733288918,0.007761202270474586
39,0.050084431966145836,0.0029181332241019226,0.0019958019256591797,1.8570139321562326e-06,0.01,4,150,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 150}",0.8151260504201681,0.8396624472573839,0.8270042194092827,0.827264239028945,0.010018629317103586,3,0.8565400843881856,0.871578947368421,0.8526315789473684,0.8602502035679916,0.008168003867410482
40,0.05932211875915527,0.004762724218392802,0.0015815893809000652,0.0004234151674812967,0.01,4,175,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 175}",0.8151260504201681,0.8396624472573839,0.8270042194092827,0.827264239028945,0.010018629317103586,3,0.8586497890295358,0.871578947368421,0.8526315789473684,0.8609534384484417,0.007904884270908907
28,0.07297595342000325,0.03410312579406711,0.0029954910278320312,0.0021595020818664934,0.01,3,150,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150}",0.819327731092437,0.8438818565400844,0.8185654008438819,0.8272583294921345,0.011758727977901055,7,0.8502109704641351,0.8568421052631578,0.8378947368421052,0.8483159375231327,0.0078504375634478
30,0.07455801963806152,0.01259171752463398,0.002025127410888672,0.0008513367837556299,0.01,3,190,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 190}",0.819327731092437,0.8481012658227848,0.8143459915611815,0.8272583294921344,0.014877845461221355,8,0.8502109704641351,0.8589473684210527,0.8421052631578947,0.8504212006810276,0.006877367470279817
123,0.018617550532023113,0.0009409425225034149,0.0016654332478841145,0.00047330038742272575,0.1,3,60,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 60}",0.819327731092437,0.8312236286919831,0.8312236286919831,0.8272583294921344,0.005607779907293225,8,0.879746835443038,0.8821052631578947,0.8589473684210527,0.8735998223406618,0.010405490528922782
122,0.010305404663085938,0.0012436878576663826,0.0019950071970621743,0.0008147827727028481,0.1,3,30,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 30}",0.8235294117647058,0.8396624472573839,0.8185654008438819,0.8272524199553238,0.009006180630874995,10,0.8713080168776371,0.8673684210526316,0.848421052631579,0.8623658301872826,0.009990753045513015
