,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_optimizer,param_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
41,5.435102383295695,0.30812664644544274,0.24034738540649414,0.04572223199448849,10,20,random_uniform,rmsprop,13,"{'batch_size': 10, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 13}",0.6753472222222222,0.6527777777777778,0.5329861111111112,0.6203703703703703,0.062473202416981906,25,0.6067708333333334,0.6909722222222222,0.8177083333333334,0.7051504629629629,0.08669649785098704
48,12.147165536880493,1.285764557355762,0.2448747158050537,0.02179957531153437,10,50,random_uniform,rmsprop,4,"{'batch_size': 10, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 4}",0.6753472222222222,0.6527777777777778,0.53125,0.6197916666666666,0.06328277810861366,26,0.6024305555555556,0.6909722222222222,0.8211805555555556,0.704861111111111,0.0898427016176084
45,11.183213710784912,0.37693250563349767,0.22871820131937662,0.007629417462446931,10,50,random_uniform,adam,4,"{'batch_size': 10, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 4}",0.6753472222222222,0.6527777777777778,0.5295138888888888,0.6192129629629629,0.06409257821278212,27,0.6024305555555556,0.6909722222222222,0.8159722222222222,0.703125,0.08760052646904765
43,5.720275322596232,0.6861095324427728,0.28316322962443036,0.05830570947401197,10,20,random_uniform,SGD,8,"{'batch_size': 10, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 8}",0.6614583333333334,0.6527777777777778,0.5434027777777778,0.6192129629629629,0.05372290724664434,27,0.6640625,0.6909722222222222,0.7960069444444444,0.717013888888889,0.05692662181570004
11,9.03642209370931,0.3153563150315804,0.32869982719421387,0.0026888867434206472,5,20,random_uniform,adam,13,"{'batch_size': 5, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 13}",0.6805555555555556,0.6545138888888888,0.5208333333333334,0.6186342592592592,0.06996812576533584,29,0.6371527777777778,0.6918402777777778,0.8159722222222222,0.7149884259259259,0.07481522126711648
2,5.735548496246338,0.04567113246771226,0.40977732340494794,0.037810245036274025,5,10,random_uniform,adam,13,"{'batch_size': 5, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 13}",0.6354166666666666,0.6510416666666666,0.5694444444444444,0.6186342592592592,0.0353625373089171,29,0.6232638888888888,0.6909722222222222,0.7647569444444444,0.6929976851851851,0.05778205066034858
8,4.616927703221639,0.07195024840479454,0.30799365043640137,0.014989692870359438,5,10,random_uniform,SGD,13,"{'batch_size': 5, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 13}",0.65625,0.6510416666666666,0.5451388888888888,0.6174768518518517,0.05119483924675111,31,0.6545138888888888,0.6909722222222222,0.7942708333333334,0.7132523148148149,0.05919066804017203
40,4.71557076772054,0.09300105081028616,0.23511552810668945,0.03018690893350583,10,20,random_uniform,rmsprop,8,"{'batch_size': 10, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 8}",0.6527777777777778,0.6527777777777778,0.5381944444444444,0.6145833333333334,0.05401510134063907,32,0.6831597222222222,0.6909722222222222,0.7951388888888888,0.7230902777777777,0.051045800097184554
10,10.419957160949707,1.1047894750455185,0.39476752281188965,0.08547608624263442,5,20,random_uniform,adam,8,"{'batch_size': 5, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 8}",0.6440972222222222,0.6579861111111112,0.5381944444444444,0.6134259259259259,0.053498019670923935,33,0.640625,0.6883680555555556,0.8098958333333334,0.7129629629629629,0.07125931918995806
44,7.281219561894734,1.723042397710893,0.2700072129567464,0.03854499215178733,10,20,random_uniform,SGD,13,"{'batch_size': 10, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 13}",0.6631944444444444,0.6545138888888888,0.5190972222222222,0.6122685185185185,0.06597729837521107,34,0.6501736111111112,0.6909722222222222,0.8098958333333334,0.717013888888889,0.06775654147994159
