,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
102,3.4878767331441245,0.2208684050374987,0.33814160029093426,0.013173419402545359,100,20,0.001,0.1,"{'batch_size': 100, 'epochs': 20, 'kernel': 0.001, 'learning_rate': 0.1}",0.7857142857142857,0.8143459915611815,0.7848101265822784,0.7949568012859153,0.013715195966077388,11,0.8375527426160337,0.8421052631578947,0.7810526315789473,0.8202368791176252,0.027769711344080225
226,2.8495030403137207,0.3652885903440516,0.2429211139678955,0.022424740068643863,150,30,0.0001,0.1,"{'batch_size': 150, 'epochs': 30, 'kernel': 0.0001, 'learning_rate': 0.1}",0.7857142857142857,0.8059071729957806,0.7932489451476793,0.7949568012859153,0.00833169665124187,11,0.8291139240506329,0.848421052631579,0.8168421052631579,0.8314590273151232,0.012998259145368122
70,3.585230032602946,0.25846334143507016,0.2811153729756673,0.009448605087845823,50,50,0.001,0.1,"{'batch_size': 50, 'epochs': 50, 'kernel': 0.001, 'learning_rate': 0.1}",0.819327731092437,0.7890295358649789,0.7763713080168776,0.7949095249914312,0.01802302739935792,13,0.8333333333333334,0.8273684210526315,0.7957894736842105,0.8188304093567251,0.016473384232914116
166,3.556060473124186,0.3923471250468383,0.3308849334716797,0.07368137516920813,100,50,0.001,0.1,"{'batch_size': 100, 'epochs': 50, 'kernel': 0.001, 'learning_rate': 0.1}",0.8067226890756303,0.7679324894514767,0.8059071729957806,0.7935207838409625,0.018096719296442777,14,0.8417721518987342,0.7957894736842105,0.7852631578947369,0.8076082611592272,0.024536767022445595
258,3.158566474914551,0.25507931895016434,0.2562313874562581,0.05596968505035459,150,50,0.0001,0.1,"{'batch_size': 150, 'epochs': 50, 'kernel': 0.0001, 'learning_rate': 0.1}",0.7773109243697479,0.810126582278481,0.7848101265822784,0.7907492110768358,0.014039738707703163,15,0.810126582278481,0.8357894736842105,0.8189473684210526,0.8216211414612481,0.010646057033112414
72,3.5163145065307617,0.11524720473871897,0.2456207275390625,0.0125809558846089,50,50,0.01,0.001,"{'batch_size': 50, 'epochs': 50, 'kernel': 0.01, 'learning_rate': 0.001}",0.7941176470588235,0.8016877637130801,0.7763713080168776,0.7907255729295937,0.010610069350325943,16,0.7827004219409283,0.783157894736842,0.7789473684210526,0.781601895032941,0.0018863022008978186
98,2.6404824256896973,0.12247415872473494,0.3253950277964274,0.04890188113512846,100,20,0.0001,0.1,"{'batch_size': 100, 'epochs': 20, 'kernel': 0.0001, 'learning_rate': 0.1}",0.8109243697478992,0.7721518987341772,0.7848101265822784,0.7892954650214516,0.01614341605346527,17,0.8375527426160337,0.8063157894736842,0.7978947368421052,0.8139210896439412,0.017060085941577565
194,2.784356435139974,0.23747486296495843,0.2711317539215088,0.0020596932706140668,150,20,0.0001,0.1,"{'batch_size': 150, 'epochs': 20, 'kernel': 0.0001, 'learning_rate': 0.1}",0.7605042016806722,0.8143459915611815,0.7890295358649789,0.7879599097022775,0.021993827307984676,18,0.7974683544303798,0.8294736842105264,0.8126315789473684,0.8131912058627582,0.013072112053204613
162,3.416832129160563,0.32096913787918757,0.2739113171895345,0.019501847382148184,100,50,0.0001,0.1,"{'batch_size': 100, 'epochs': 50, 'kernel': 0.0001, 'learning_rate': 0.1}",0.8025210084033614,0.7974683544303798,0.7637130801687764,0.7879008143341725,0.017227249559628403,19,0.8649789029535865,0.8357894736842105,0.8084210526315789,0.8363964764231252,0.023093634729154842
42,3.1633578141530356,0.4012340500623402,0.2468561331431071,0.07501615295973693,50,30,0.01,0.1,"{'batch_size': 50, 'epochs': 30, 'kernel': 0.01, 'learning_rate': 0.1}",0.8067226890756303,0.759493670886076,0.7932489451476793,0.7864884350364618,0.019864934138832294,20,0.8122362869198312,0.8063157894736842,0.8021052631578948,0.8068857798504699,0.004155564734060538
